trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.002, 'e': 0.865887748059205}",25,0,-201.14190682580457,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
73,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-156.24365136880857,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,0,-65.41357598523027,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,14,-17.988926904660932,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-86.53285225856057,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8572720210114575}",30,0,-86.38072768567423,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,0,-117.80913620724144,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-77.83116089289686,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.8521437889662113}",30,0,-207.38810714160817,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
81,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-99.33433102162437,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.002, 'e': 0.8487420218802068}",25,0,-159.2765752599972,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
83,False,"{'a': 0.002, 'e': 0.8470462341893996}",25,11,-77.09971595451015,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
84,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,0,-125.85688587061037,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
85,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-110.34861561283994,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-50.15707406514129,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
87,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,5,-77.14344634696403,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-116.67770096959057,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-71.00093081799021,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.002, 'e': 0.835270211411272}",35,0,-147.71889433571528,"{0: 22, 1: 2, 2: 8, 3: 2, 4: 1}",0
91,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,8,-64.694165133674,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,1,-23.07165948653417,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,0,-115.15511108037366,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
