trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.002, 'e': 0.9968017063026194}",25,0,-128.5641976899445,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.002, 'e': 0.9966398834184859}",20,0,-107.84238053048266,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9964740739761475}",25,2,-33.85349187760071,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.002, 'e': 0.996304278638842}",25,0,-145.73212780476393,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9961304980857502}",20,0,-128.05992683805113,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.002, 'e': 0.9959527330119943}",25,0,-83.75987910329656,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9957709841286342}",25,6,-120.61714901750659,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
47,False,"{'a': 0.002, 'e': 0.9955852521626654}",20,3,-9.71280649492172,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.002, 'e': 0.9953955378570153}",20,0,-143.97521374374355,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
49,False,"{'a': 0.002, 'e': 0.995201841970541}",20,2,-112.29284845209705,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 2}",1
50,False,"{'a': 0.002, 'e': 0.9950041652780258}",30,7,-51.733725246834226,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 0}",1
51,False,"{'a': 0.002, 'e': 0.994802508570176}",35,5,-219.95642022492078,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 5}",1
52,False,"{'a': 0.002, 'e': 0.9945968726536185}",20,0,-45.568651929537175,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.002, 'e': 0.9943872583508965}",20,0,-63.23722216664453,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.9941736665004669}",20,0,-49.84755615172068,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.9939560979566968}",20,0,-203.66092792322905,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
56,False,"{'a': 0.002, 'e': 0.9937345535898603}",30,0,-198.5925368836724,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
57,False,"{'a': 0.002, 'e': 0.9935090342861342}",20,0,-29.74320122346683,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.002, 'e': 0.9932795409475959}",25,0,-197.8622375090044,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
59,False,"{'a': 0.002, 'e': 0.993046074492218}",25,0,-104.50452897270625,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.9928086358538663}",20,0,-21.070977453534187,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.002, 'e': 0.9925672259822949}",30,8,-87.27083384501479,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 0}",1
62,False,"{'a': 0.002, 'e': 0.9923218458431429}",20,0,-229.09255487497668,"{0: 6, 1: 3, 2: 6, 3: 2, 4: 3}",0
63,False,"{'a': 0.002, 'e': 0.9920724964179307}",30,0,-67.51236786347617,"{0: 24, 1: 3, 2: 0, 3: 2, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.9918191787040556}",30,0,-193.49250862700154,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.002, 'e': 0.9915618937147881}",20,3,-200.38354746008437,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 4}",1
66,False,"{'a': 0.002, 'e': 0.9913006424792677}",25,0,-149.27679642503514,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.002, 'e': 0.9910354260424993}",30,0,-67.8763545686276,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.990766245465348}",25,12,-36.4219719715365,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.002, 'e': 0.9904931018245359}",20,0,-97.57671890078862,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.002, 'e': 0.9902159962126371}",30,0,-131.47399860598316,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.9899349297380738}",25,1,-103.34052021215649,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 1}",1
