trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2974,False,"{'a': 0.002, 'e': 0.0026162847550297305}",20,0,29.179972222982187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2975,False,"{'a': 0.002, 'e': 0.0026110574146025432}",20,9,18.112598196621718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2976,False,"{'a': 0.002, 'e': 0.0026058405184084983}",35,21,30.031038756915976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2977,False,"{'a': 0.002, 'e': 0.0026006340455800013}",25,8,27.480963209554666,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2978,False,"{'a': 0.002, 'e': 0.0025954379752911537}",20,6,22.54900200434773,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2979,False,"{'a': 0.002, 'e': 0.002590252286757666}",20,9,21.94606032485997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2980,False,"{'a': 0.002, 'e': 0.002585076959236781}",20,14,12.418252992604051,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2981,False,"{'a': 0.002, 'e': 0.00257991197202718}",20,11,18.39944725491536,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2982,False,"{'a': 0.002, 'e': 0.002574757304468907}",25,9,28.76979456624532,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2983,False,"{'a': 0.002, 'e': 0.0025696129359432823}",20,6,25.994570376367424,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2984,False,"{'a': 0.002, 'e': 0.0025644788458728304}",25,15,16.38559129058303,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2985,False,"{'a': 0.002, 'e': 0.0025593550137211806}",25,3,32.300450816660415,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2986,False,"{'a': 0.002, 'e': 0.0025542414189929983}",25,0,43.78472404300593,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2987,False,"{'a': 0.002, 'e': 0.0025491380412338955}",25,12,20.020223814223183,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
